,POSTCODE,percentOver18,CategoryOver18,PercentOver65,CategoryOver65,NumberOfPeopleVaccinated,NumberOfPeopleVaccinatedCategory
253,85714,43.12,26-55,68.74,56-75,4452,"1,001-5,000"
254,85715,59.65,56-75,83.99,Greater Than 75,10355,"Greater Than 10,000"
255,85716,53.01,26-55,79.57,Greater Than 75,15201,"Greater Than 10,000"
256,85718,76.71,Greater Than 75,94.01,Greater Than 75,19290,"Greater Than 10,000"
257,85719,51.31,26-55,80.9,Greater Than 75,20858,"Greater Than 10,000"
258,85730,43.95,26-55,69.22,56-75,13570,"Greater Than 10,000"
259,85735,42.14,26-55,65.49,56-75,3853,"1,001-5,000"
260,85736,26.22,26-55,45.01,26-55,1144,"1,001-5,000"
261,85737,67.53,56-75,92.05,Greater Than 75,12780,"Greater Than 10,000"
262,85739,62.69,56-75,82.26,Greater Than 75,10539,"Greater Than 10,000"
263,85741,48.83,26-55,75.63,Greater Than 75,13955,"Greater Than 10,000"
264,85742,55.94,56-75,80.53,Greater Than 75,13369,"Greater Than 10,000"
265,85743,53.63,26-55,84.16,Greater Than 75,13455,"Greater Than 10,000"
266,85745,57.87,56-75,91.57,Greater Than 75,18409,"Greater Than 10,000"
267,85746,45.07,26-55,76.48,Greater Than 75,15276,"Greater Than 10,000"
268,85747,50.78,26-55,97.52,Greater Than 75,10433,"Greater Than 10,000"
269,85748,55.27,56-75,80.34,Greater Than 75,9198,"5,001-10,000"
270,85749,63.44,56-75,94.12,Greater Than 75,10608,"Greater Than 10,000"
271,85750,74.86,56-75,100,Greater Than 75,16649,"Greater Than 10,000"
272,85755,77.02,Greater Than 75,99.17,Greater Than 75,11740,"Greater Than 10,000"
273,85756,41.33,26-55,75.55,Greater Than 75,12347,"Greater Than 10,000"
274,85757,44.9,26-55,71.02,56-75,6163,"5,001-10,000"
275,85901,33.03,26-55,58.95,56-75,5445,"5,001-10,000"
276,85911,,0,,0,0,0
277,85920,65.85,56-75,118.38,Greater Than 75,243,"11-1,000"
278,85922,61.54,56-75,125,Greater Than 75,1-10,1-10
279,85923,23.68,11-25,52.63,26-55,81,"11-1,000"
280,85924,18.19,11-25,32.69,26-55,513,"11-1,000"
281,85925,25.04,26-55,54.73,26-55,969,"11-1,000"
282,85927,63.97,56-75,100,Greater Than 75,87,"11-1,000"
283,85928,13.33,11-25,20.26,11-25,117,"11-1,000"
284,85929,32.09,26-55,61.7,56-75,2392,"1,001-5,000"
285,85931,28.5,26-55,30.17,26-55,61,"11-1,000"
286,85932,172.73,Greater Than 75,300,Greater Than 75,19,"11-1,000"
287,85933,52.68,26-55,77.17,Greater Than 75,1417,"1,001-5,000"
288,85934,84.44,Greater Than 75,208,Greater Than 75,152,"11-1,000"
289,85935,38.2,26-55,64.99,56-75,1548,"1,001-5,000"
290,85936,21.49,11-25,39.4,26-55,668,"11-1,000"
291,85937,23.26,11-25,45.91,26-55,1506,"1,001-5,000"
292,85938,26.5,26-55,50.34,26-55,579,"11-1,000"
293,85939,20.24,11-25,49.01,26-55,617,"11-1,000"
294,85940,484.62,Greater Than 75,946.43,Greater Than 75,441,"11-1,000"
295,85942,28.21,26-55,81.82,Greater Than 75,22,"11-1,000"
296,86001,41.56,26-55,79.08,Greater Than 75,14469,"Greater Than 10,000"
297,86004,53.88,26-55,75.77,Greater Than 75,16945,"Greater Than 10,000"
298,86005,57.79,56-75,89.65,Greater Than 75,6946,"5,001-10,000"
299,86015,60.96,56-75,42.19,26-55,398,"11-1,000"
300,86016,19.05,11-25,0,0,1-10,1-10
301,86017,71.78,56-75,95.87,Greater Than 75,474,"11-1,000"
302,86018,40.6,26-55,68.95,56-75,379,"11-1,000"
303,86020,0,0,0,0,0,0
304,86021,4.28,1-10,14.63,11-25,135,"11-1,000"
305,86022,26.91,26-55,62.91,56-75,320,"11-1,000"
306,86023,47.05,26-55,37.36,26-55,1159,"1,001-5,000"
307,86024,55.95,56-75,59.8,56-75,423,"11-1,000"
308,86025,26.65,26-55,50.12,26-55,1142,"1,001-5,000"
309,86029,38.4,26-55,51.02,26-55,96,"11-1,000"
310,86032,25.69,26-55,61.63,56-75,247,"11-1,000"
311,86033,,0,,0,0,0
312,86035,,0,,0,0,0
313,86036,2.99,1-10,11.11,11-25,1-10,1-10
314,86038,36,26-55,38.24,26-55,45,"11-1,000"
315,86040,62.16,56-75,84.74,Greater Than 75,4121,"1,001-5,000"
316,86042,,0,,0,0,0
317,86043,0,0,0,0,0,0
318,86044,,0,,0,0,0
319,86045,0,0,0,0,0,0
320,86046,28.89,26-55,48.78,26-55,1794,"1,001-5,000"
321,86047,34.43,26-55,55.01,56-75,3046,"1,001-5,000"
322,86052,20,11-25,0,0,1-10,1-10
323,86054,,0,,0,0,0
324,86301,54.6,26-55,84.51,Greater Than 75,11787,"Greater Than 10,000"
325,86303,49.33,26-55,69.33,56-75,8256,"5,001-10,000"
326,86305,49.89,26-55,79.45,Greater Than 75,9150,"5,001-10,000"
327,86314,34.64,26-55,67.06,56-75,10897,"Greater Than 10,000"
328,86315,47.78,26-55,91.42,Greater Than 75,3643,"1,001-5,000"
329,86320,43.19,26-55,63.6,56-75,390,"11-1,000"
330,86321,29.76,26-55,29.84,26-55,478,"11-1,000"
331,86322,28.69,26-55,52.61,26-55,3056,"1,001-5,000"
332,86323,30.79,26-55,51.09,26-55,4755,"1,001-5,000"
333,86324,44.39,26-55,67.01,56-75,1936,"1,001-5,000"
334,86325,40.62,26-55,77.25,Greater Than 75,1993,"1,001-5,000"
335,86326,36.01,26-55,62.1,56-75,7323,"5,001-10,000"
336,86327,41.33,26-55,68.46,56-75,4327,"1,001-5,000"
337,86329,825,Greater Than 75,1350,Greater Than 75,264,"11-1,000"
338,86331,36.7,26-55,54.36,26-55,189,"11-1,000"
339,86332,18.12,11-25,26.09,26-55,346,"11-1,000"
340,86333,24.45,11-25,38.49,26-55,1428,"1,001-5,000"
341,86334,21.72,11-25,41.64,26-55,968,"11-1,000"
342,86335,28.44,26-55,51.29,26-55,1252,"1,001-5,000"
343,86336,47.25,26-55,72.66,56-75,5373,"5,001-10,000"
344,86337,18.57,11-25,29.68,26-55,249,"11-1,000"
345,86338,26.74,26-55,43.09,26-55,138,"11-1,000"
346,86343,24.54,11-25,32.2,26-55,40,"11-1,000"
347,86351,54.18,26-55,73.55,56-75,3421,"1,001-5,000"
348,86401,32.71,26-55,59.76,56-75,7219,"5,001-10,000"
349,86403,34.02,26-55,55.77,56-75,5042,"5,001-10,000"
350,86404,37.85,26-55,65.06,56-75,5968,"5,001-10,000"
351,86406,34.54,26-55,57.74,56-75,7721,"5,001-10,000"
352,86409,26.06,26-55,46.09,26-55,6044,"5,001-10,000"
353,86411,21.8,11-25,41.51,26-55,29,"11-1,000"
354,86413,22.87,11-25,36.47,26-55,3251,"1,001-5,000"
355,86426,30.12,26-55,51.01,26-55,3882,"1,001-5,000"
356,86429,33.03,26-55,52.78,26-55,2033,"1,001-5,000"
357,86432,11.86,11-25,21.66,11-25,393,"11-1,000"
358,86433,13.14,11-25,63.16,56-75,18,"11-1,000"
359,86434,29.41,26-55,100,Greater Than 75,1-10,1-10
360,86435,0,0,0,0,0,0
361,86436,22.55,11-25,32.12,26-55,474,"11-1,000"
362,86437,6.21,1-10,9.59,1-10,11,"11-1,000"
363,86438,31.4,26-55,50.98,26-55,211,"11-1,000"
364,86440,29.04,26-55,48.25,26-55,1494,"1,001-5,000"
365,86441,19.53,11-25,24.12,11-25,395,"11-1,000"
366,86442,27.17,26-55,48.51,26-55,7922,"5,001-10,000"
367,86443,4,1-10,5,1-10,1-10,1-10
368,86444,34.27,26-55,49.25,26-55,450,"11-1,000"
369,86445,12.73,11-25,20.45,11-25,42,"11-1,000"
370,86502,34.12,26-55,47.1,26-55,265,"11-1,000"
371,86503,,0,,0,0,0
372,86505,12.4,11-25,36.62,26-55,54,"11-1,000"
373,86507,,0,,0,0,0
374,86511,0.19,1-10,0,0,1-10,1-10
375,86514,,0,,0,0,0
376,86515,0,0,0,0,0,0
377,85045 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
378,85048 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
379,85121 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
380,85122 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
381,85128 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
382,85131 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
383,85132 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
384,85138 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
385,85139 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
386,85142 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
387,85143 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
388,85147 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
389,85172 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
390,85192 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
391,85193 Tribal,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed,Data Suppressed
